master_person_id,total_campaign_memberships,total_responses,real_engagement_count,automated_touch_count,automation_ratio,webinar_attended_count,event_attended_count,content_response_count,email_response_count,last_response_date,days_since_last_response,responses_7d,responses_14d,responses_30d,responses_90d,response_velocity_30d,engagement_burst_flag,sustained_engagement_flag,seniority_score,persona_score,profile_completeness_score,non_prospect_flag,account_id,is_icp_qualified,is_named_account,intent_score,do_not_contact,account_response_count,engaged_contacts_on_account,account_surge_flag,duplicate_email_flag,shared_mailbox_flag,broken_conversion_link_flag,missing_title_flag,missing_account_flag,opted_out_flag,bounced_or_left_company_flag,structural_block_flag,risk_score,eligibility_status,engagement_quality_score,buying_committee_strength
MP00000000000001,1,0,0,1,1.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,70,60,85.71428571428571,False,001xsyf348JkxisEdA,True,False,56.0,False,3,2,False,False,False,False,True,False,False,False,False,15,Eligible,0.0,66.66666666666666
MP00000000000002,0,0,0,0,0.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,85,0,85.71428571428571,False,0014d9n0Xv00kKXR4b,False,False,14.0,False,2,1,False,False,False,False,False,False,False,False,False,0,Eligible,0.0,33.33333333333333
MP00000000000003,9,4,4,4,0.4444444444444444,1,0,3,0,2026-05-15 21:04:04,15.122164351851852,0,0,1,4,0.3333333333333333,False,True,50,75,100.0,False,0019enq522wjZRL9Oa,False,False,32.0,False,9,2,False,True,False,False,False,False,False,False,False,30,Eligible,55.0,66.66666666666666
MP00000000000004,3,3,3,0,0.0,1,0,2,0,2026-05-06 17:12:00,24.28332175925926,0,0,3,3,3.0,False,True,25,0,85.71428571428571,False,00195e5bzVV8OA9x14,True,True,90.0,False,7,2,False,False,False,False,False,False,False,False,False,0,Eligible,56.666666666666664,33.33333333333333
MP00000000000005,11,2,2,9,0.8181818181818182,1,0,1,0,2026-05-24 14:00:00,6.416655092592593,1,1,2,2,2.0,False,False,25,0,71.42857142857143,False,001gcLRdTyon1dFrYT,True,False,84.0,False,5,3,False,False,False,False,True,False,False,False,False,15,Eligible,60.0,100.0
MP00000000000006,2,2,2,0,0.0,0,2,0,0,2026-05-19 21:04:04,11.122164351851852,0,1,1,2,1.0,False,False,25,0,71.42857142857143,False,001BovCzfAPxj5eZff,False,False,70.0,False,2,1,False,False,False,False,True,False,False,True,True,100,Blocked,100.0,33.33333333333333
MP00000000000007,5,1,1,2,0.4,0,0,1,0,2026-05-29 21:04:04,1.1221643518518518,1,1,1,1,1.0,False,False,100,60,100.0,False,001AEeppMKmgs6uMXu,False,False,48.0,False,2,2,False,False,False,False,False,False,False,False,False,0,Eligible,50.0,66.66666666666666
MP00000000000008,2,2,2,0,0.0,1,0,0,1,2026-05-19 21:04:04,11.122164351851852,0,1,2,2,2.0,False,False,0,100,85.71428571428571,False,001gcLRdTyon1dFrYT,True,False,84.0,False,5,3,False,False,False,False,False,False,False,False,False,0,Eligible,45.0,100.0
MP00000000000009,15,3,3,11,0.7333333333333333,1,0,2,0,2026-05-24 14:00:00,6.416655092592593,1,1,1,3,0.5,False,True,70,0,100.0,True,00150OXirZRiRBaepZ,False,True,56.0,False,3,1,False,True,False,False,False,False,False,False,True,30,Blocked,56.666666666666664,16.666666666666664
MP00000000000010,2,1,1,1,0.5,0,1,0,0,2026-05-12 21:04:04,18.12216435185185,0,0,1,1,1.0,False,False,100,100,100.0,False,001nipuaUkxRFZXe1c,False,False,37.0,False,7,4,True,True,False,True,False,False,False,False,False,30,Eligible,100.0,100.0
MP00000000000011,0,0,0,0,0.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,50,0,85.71428571428571,False,001h7i71S87XwXaHCP,False,False,9.0,False,0,0,False,False,False,False,False,False,False,False,False,0,Eligible,0.0,0.0
MP00000000000012,1,1,1,0,0.0,0,0,0,0,2026-05-23 21:04:04,7.122164351851852,0,1,1,1,1.0,False,False,100,75,100.0,False,001YYojmLVOkVEUVB5,False,False,23.0,False,1,1,False,False,False,False,False,False,False,False,False,0,Eligible,0.0,33.33333333333333
MP00000000000013,9,1,1,8,0.8888888888888888,0,0,1,0,2026-05-24 14:00:00,6.416655092592593,1,1,1,1,1.0,False,False,50,85,100.0,False,001s9BvYB9WoYKvSNk,False,False,34.0,False,3,2,False,False,False,False,False,False,False,False,False,0,Eligible,50.0,66.66666666666666
MP00000000000014,12,3,3,9,0.75,1,1,1,0,2026-05-24 14:00:00,6.416655092592593,1,1,1,3,0.5,False,True,0,75,85.71428571428571,False,001HnKYaXRvj7uff0L,False,True,57.0,False,17,5,True,False,False,False,False,False,False,False,False,0,Eligible,73.33333333333333,83.33333333333334
MP00000000000015,1,0,0,1,1.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,0,85,85.71428571428571,False,001Q7iLWceWwxJLQ6x,False,False,36.0,False,0,0,False,False,False,False,False,False,False,False,False,0,Eligible,0.0,0.0
MP00000000000016,4,1,1,1,0.25,0,0,0,1,2026-05-10 11:00:00,20.541655092592592,0,0,1,1,1.0,False,False,100,100,85.71428571428571,False,001EBqUhArQEPcyLas,True,False,90.0,False,9,5,False,False,False,False,True,False,False,False,False,15,Eligible,20.0,100.0
MP00000000000017,10,1,1,9,0.9,1,0,0,0,2026-04-10 14:00:00,50.41665509259259,0,0,0,1,0.0,False,False,85,75,100.0,False,001WJSKkMM0jQb6gbt,False,True,18.0,False,1,1,False,False,False,False,False,False,False,False,False,0,Eligible,70.0,16.666666666666664
MP00000000000018,2,1,1,1,0.5,1,0,0,0,2026-04-26 21:04:04,34.12216435185185,0,0,0,1,0.0,False,False,85,60,100.0,False,001D04wzInjq5Jzjux,False,False,48.0,False,8,4,True,False,False,False,False,False,False,True,True,100,Blocked,70.0,100.0
MP00000000000019,1,0,0,0,0.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,25,75,100.0,False,001Is9hVLXnGBB19sM,False,False,10.0,False,2,1,False,False,False,False,False,False,False,False,False,0,Eligible,0.0,33.33333333333333
MP00000000000020,10,1,1,9,0.9,1,0,0,0,2026-05-24 14:00:00,6.416655092592593,1,1,1,1,1.0,False,False,70,100,100.0,False,001Y7gbtP7ySeQMgV0,False,False,55.0,False,6,3,True,False,False,False,False,False,False,False,False,0,Eligible,70.0,100.0
MP00000000000021,1,0,0,0,0.0,0,0,0,0,,180.0,0,0,0,0,0.0,False,False,0,100,85.71428571428571,False,001EeVVhDIq2AnHTmt,True,False,72.0,False,6,2,True,False,False,False,False,False,False,False,False,0,Eligible,0.0,66.66666666666666
MP00000000000022,7,3,3,2,0.2857142857142857,2,0,1,0,2026-05-28 21:04:04,2.122164351851852,1,1,2,3,2.0,False,True,0,85,85.71428571428571,False,001ylh0CPNLbWphJeV,False,False,48.0,False,3,1,False,True,False,False,False,False,False,False,False,30,Eligible,63.333333333333336,33.33333333333333
MP00000000000023,3,2,2,0,0.0,1,0,1,0,2026-05-10 11:00:00,20.541655092592592,0,0,2,2,2.0,False,False,50,0,85.71428571428571,False,0010pKGytvukFhF4vT,True,False,84.0,False,2,1,False,False,False,False,False,False,False,False,False,0,Eligible,60.0,33.33333333333333
MP00000000000024,2,1,1,1,0.5,0,0,1,0,2026-05-30 21:04:04,0.12216435185185186,1,1,1,1,1.0,False,False,85,60,85.71428571428571,False,001QYXzENpOSWe9DyF,True,False,58.0,False,4,2,False,False,False,False,True,False,False,False,False,15,Eligible,50.0,66.66666666666666
MP00000000000025,22,4,4,16,0.7272727272727273,3,0,1,0,2026-05-24 14:00:00,6.416655092592593,1,2,4,4,4.0,False,True,50,75,100.0,False,001zCN2fFr6w6uaVTT,False,False,63.0,False,6,2,True,True,False,False,False,False,False,False,False,30,Eligible,65.0,66.66666666666666
