cm_id,entity_id,entity_type,campaign_name,campaign_type,member_status,is_responded,response_date,is_active
00vNbrnTP3fAbnFbmO,00QNgAC72qFl41sNLj,Lead,Email: Monthly Security Insights Newsletter,Email,Sent,False,,True
00vHnKYaXRvj7uff0L,00QNgAC72qFl41sNLj,Lead,Email: Cyber Threat Intelligence Bulletin,Email,Sent,False,,True
00vYTH8xIZM1JRcore,00QNgAC72qFl41sNLj,Lead,Email: Quarterly Product Feature Announcement,Email,Sent,False,,True
00vogrNwwmq6OLkTkx,00QNgAC72qFl41sNLj,Lead,Email: Critical Vulnerability Alert Notification,Email,Sent,False,,True
00v9NIQ0Wobtqn62tO,00QNgAC72qFl41sNLj,Lead,Email: Monthly Security Insights Newsletter,Email,Sent,False,,True
00vy4CqpIqK3yn9Ffc,00QNgAC72qFl41sNLj,Lead,Email: Cyber Threat Intelligence Bulletin,Email,Sent,False,,True
00vgMXAdx9G81aSQHq,00QNgAC72qFl41sNLj,Lead,Email: Quarterly Product Feature Announcement,Email,Sent,False,,True
00vNgAC72qFl41sNLj,00QNgAC72qFl41sNLj,Lead,Email: Critical Vulnerability Alert Notification,Email,Sent,False,,True
00vVHWGaub52Ztd26f,00QNgAC72qFl41sNLj,Lead,Email: Monthly Security Insights Newsletter,Email,Sent,False,,True
00vEeVVhDIq2AnHTmt,00QNgAC72qFl41sNLj,Lead,Email: Cyber Threat Intelligence Bulletin,Email,Sent,False,,True
00v9OBGhnuKoneNo41,00QNgAC72qFl41sNLj,Lead,Email: Quarterly Product Feature Announcement,Email,Sent,False,,True
00veoPni6JDWYlgAAC,00QNgAC72qFl41sNLj,Lead,Email: Critical Vulnerability Alert Notification,Email,Sent,False,,True
00vTP9gyv1plBArp5B,00QNgAC72qFl41sNLj,Lead,Email: Monthly Security Insights Newsletter,Email,Sent,False,,True
00v1Id9Z850kEnydx9,00QNgAC72qFl41sNLj,Lead,Email: Cyber Threat Intelligence Bulletin,Email,Sent,False,,True
00vqWCA79ISjs8JHUd,00QNgAC72qFl41sNLj,Lead,Email: Quarterly Product Feature Announcement,Email,Sent,False,,True
00vKF0j7elKPoh3pKM,00QNgAC72qFl41sNLj,Lead,Email: Critical Vulnerability Alert Notification,Email,Sent,False,,True
00vzKG5mSoyPstUeC9,00QNgAC72qFl41sNLj,Lead,Email: Monthly Security Insights Newsletter,Email,Sent,False,,True
00v9enq522wjZRL9Oa,00QNgAC72qFl41sNLj,Lead,Email: Cyber Threat Intelligence Bulletin,Email,Sent,False,,True
00vYsP6ihgIqLSmNqE,00QNgAC72qFl41sNLj,Lead,Email: Quarterly Product Feature Announcement,Email,Sent,False,,True
00v40fAraVNqTIAae2,00QNgAC72qFl41sNLj,Lead,Email: Critical Vulnerability Alert Notification,Email,Sent,False,,True
00v4HZKjht3X13npgW,00QNgAC72qFl41sNLj,Lead,Email: Monthly Security Insights Newsletter,Email,Sent,False,,True
00v2zMj518Y2bTu5X1,00QNgAC72qFl41sNLj,Lead,Email: Cyber Threat Intelligence Bulletin,Email,Sent,False,,True
00vYqWg21nYCsXoblu,00QNgAC72qFl41sNLj,Lead,Email: Quarterly Product Feature Announcement,Email,Sent,False,,True
00v17rNy8H6h8l7qgA,00QNgAC72qFl41sNLj,Lead,Email: Critical Vulnerability Alert Notification,Email,Sent,False,,True
00vTtLFxJpRa5HSUPw,00QNgAC72qFl41sNLj,Lead,Email: Monthly Security Insights Newsletter,Email,Sent,False,,True
